rank,design_id,comfort_score,length_m,width_m,height_m,floor_area_m2,aspect_ratio,av_ratio,wwr_percent,walls,wall_thickness_mm,roof,roof_thickness_mm,floor,floor_thickness_mm,windows,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,C_total_MJ_per_K,T_median_C,T_min_C,T_max_C,T_avg_C,swing_C,hours_in_band_pct
1,15,-6.7,6.52,3.91,2.64,25.5,1.667,1.197,17.8,puf (62 mm) + stone_masonry (469 mm),531,puf (73 mm) + concrete (136 mm),209,puf (41 mm) + reinforced_concrete (133 mm),174,7x triple (9.8 m2),0.314,0.282,0.455,37.75,6.16,1.99,14.76,6.91,12.77,0.0
2,14,-13.4,5.89,4.56,2.93,26.9,1.293,1.12,11.4,puf (53 mm) + stone_masonry (442 mm),495,puf (77 mm) + reinforced_concrete (180 mm),257,puf (69 mm) + reinforced_concrete (178 mm),247,5x double (7.0 m2),0.356,0.273,0.3,46.5,5.84,0.95,14.78,6.51,13.83,0.0
3,4,-16.0,5.05,4.83,2.33,24.4,1.046,1.24,12.2,puf (51 mm) + stone_masonry (428 mm),479,puf (118 mm) + wood_timber (156 mm),274,puf (52 mm) + stone_masonry (195 mm),247,4x double (5.6 m2),0.367,0.156,0.375,32.4,5.44,0.7,14.76,6.2,14.06,0.0
4,7,-17.6,6.92,4.44,2.52,30.7,1.558,1.137,19.6,puf (110 mm) + straw_clay (327 mm),437,puf (120 mm) + reinforced_concrete (145 mm),265,puf (84 mm) + stone_masonry (284 mm),368,8x triple (11.2 m2),0.151,0.186,0.251,21.87,4.56,0.85,14.63,5.75,13.78,0.0
5,18,-29.4,6.48,4.56,2.57,29.5,1.423,1.136,12.3,puf (108 mm) + stone_masonry (509 mm),617,puf (56 mm) + reinforced_concrete (154 mm),210,puf (50 mm) + concrete (128 mm),178,5x single (7.0 m2),0.198,0.356,0.383,44.94,4.04,-0.98,14.72,4.98,15.7,0.0
6,9,-37.2,6.94,3.93,2.3,27.3,1.766,1.231,14.0,puf (63 mm) + reinforced_concrete (217 mm),280,puf (90 mm) + reinforced_concrete (197 mm),287,puf (65 mm) + concrete (180 mm),245,5x double (7.0 m2),0.321,0.239,0.307,24.3,2.77,-1.74,14.64,4.05,16.38,0.0
7,8,-38.1,6.12,4.65,2.47,28.5,1.315,1.161,10.5,puf (97 mm) + stone_masonry (342 mm),439,puf (114 mm) + concrete (165 mm),279,reinforced_concrete (162 mm),162,4x double (5.6 m2),0.221,0.192,1.753,34.39,2.69,-1.84,14.69,3.91,16.53,0.0
8,5,-46.7,5.55,3.89,2.87,21.6,1.429,1.224,12.9,puf (70 mm) + rammed_earth (464 mm),534,puf (117 mm) + straw_clay (255 mm),372,stone_masonry (320 mm),320,5x double (7.0 m2),0.258,0.153,1.565,22.56,1.21,-2.63,14.57,2.87,17.2,0.0
9,2,-51.0,4.87,4.73,2.46,23.0,1.031,1.241,17.8,puf (56 mm) + reinforced_concrete (233 mm),289,straw_clay (331 mm),331,puf (57 mm) + stone_masonry (180 mm),237,6x double (8.4 m2),0.352,0.446,0.35,19.67,0.88,-3.25,14.51,2.62,17.76,0.0
10,6,-66.1,4.95,4.57,2.31,22.7,1.083,1.274,15.9,puf (56 mm) + adobe (355 mm),411,puf (116 mm) + concrete (130 mm),246,concrete (150 mm),150,5x double (7.0 m2),0.183,0.19,1.58,9.65,-0.87,-5.15,14.09,0.1,19.24,0.0
